Author,Author_Count,Journal,Journal_Count,Subject,Subject_Count
Karla S. Sneegas,1,,,,
Frank J. Chaloupka,1,,,,
Jennifer C. Duke,1,,,,
Tesfa N. Alexander,1,,,,
Xiaoquan Zhao,1,,,,
Janine C. Delahanty,1,,,,
Jane A. Allen,1,,,,
Anna J. MacMonegle,1,,,,
Matthew C. Farrelly,1,,,,
Suzy A. A. Comhair,1,,,,
Benjamin M. Gaston,1,,,,
Kristin S. Ricci,1,,,,
Jeffrey Hammel,1,,,,
Raed A. Dweik,1,,,,
W. Gerald Teague,1,,,,
Deborah Meyers,1,,,,
Elizabeth J. Ampleford,1,,,,
Eugene R. Bleecker,1,,,,
William W. Busse,1,,,,
William J. Calhoun,1,,,,
Mario Castro,1,,,,
Kian Fan Chung,1,,,,
Douglas Curran-Everett,1,,,,
Elliot Israel,1,,,,
W. Nizar Jarjour,1,,,,
Wendy Moore,1,,,,
Stephen P. Peters,1,,,,
Sally Wenzel,1,,,,
Stanley L. Hazen,1,,,,
Serpil C. Erzurum,1,,,,
for the National Heart Lung Blood Institute Severe Asthma Research Program (SARP) ,1,,,,
K. Viswanath,1,,,,
Leland K. Ackerson,1,,,,
Glorian Sorensen,2,,,,
Hang Thi Minh Lai,1,,,,
Chihaya Koriyama,2,,,,
Shinkan Tokudome,1,,,,
Hoc Hieu Tran,1,,,,
Long Thanh Tran,1,,,,
Athira Nandakumar,2,,,,
Suminori Akiba,2,,,,
Ngoan Tran Le,1,,,,
Farooqahmed S. Kittur,1,,,,
Mamudou Bah,1,,,,
Stephanie Archer-Hartmann,1,,,,
Chiu-Yueh Hung,1,,,,
Parastoo Azadi,1,,,,
Mayumi Ishihara,1,,,,
David C. Sane,1,,,,
Jiahua Xie,2,,,,
Juhi Bagaitkar,2,,,,
Donald R. Demuth,2,,,,
Carlo Amorin Daep,1,,,,
Diane E. Renaud,2,,,,
Deanne L. Pierce,1,,,,
David A. Scott,2,,,,
Shady Elmasry,1,,,,
Shihab Asfour,1,,,,
Juan Pablo de Rivero Vaccari,1,,,,
Francesco Travascio,1,,,,
Mohammad Shakhawat Hossain,1,,,,
Kypros Kypri,1,,,,
Bayzidur Rahman,1,,,,
Iqbal Arslan,1,,,,
Shahnaz Akter,1,,,,
Abul Hasnat Milton,1,,,,
Margot A. Cousin,1,,,,
Jon O. Ebbert,1,,,,
Amanda R. Wiinamaki,1,,,,
Mark D. Urban,1,,,,
David P. Argue,1,,,,
Stephen C. Ekker,1,,,,
Eric W. Klee,1,,,,
Jayani Jayawardhana,1,,,,
W. David Bradford,1,,,,
Walter Jones,1,,,,
Paul J. Nietert,1,,,,
Gerard Silvestri,1,,,,
Dan Su,2,,,,
Xuting Wang,2,,,,
Michelle R. Campbell,2,,,,
Devin K. Porter,2,,,,
Gary S. Pittman,2,,,,
Brian D. Bennett,2,,,,
Ma Wan,2,,,,
Neal A. Englert,2,,,,
Christopher L. Crowl,2,,,,
Ryan N. Gimple,1,,,,
Kelly N. Adamski,2,,,,
Zhiqing Huang,2,,,,
Susan K. Murphy,2,,,,
Douglas A. Bell,2,,,,
Shreyas S. Athavale,1,,,,
J. Jared Gossett,1,,,,
Jessica C. Bowman,1,,,,
Nicholas V. Hud,1,,,,
Loren Dean Williams,1,,,,
Stephen C. Harvey,1,,,,
Hong Lei,1,,,,
Carolina E. Reisenman,1,,,,
Caroline H. Wilson,1,,,,
Prasad Gabbur,1,,,,
John G. Hildebrand,1,,,,
Carlo A. Daep,1,,,,
Carol K. Patel,1,,,,
Zhu Zhang,1,,,,
Xiaolong Zheng,1,,,,
Daniel Dajun Zeng,1,,,,
Scott J. Leischow,1,,,,
Emily Savell,1,,,,
Andrea Pitzschke,1,,,,
Carrie V. Breton,1,,,,
Kimberly D. Siegmund,1,,,,
Bonnie R. Joubert,1,,,,
Xinhui Wang,1,,,,
Weiliang Qui,1,,,,
Vincent Carey,1,,,,
Wenche Nystad,1,,,,
Siri E. Håberg,1,,,,
Carole Ober,1,,,,
Dan Nicolae,1,,,,
Kathleen C. Barnes,1,,,,
Fernando Martinez,1,,,,
Andy Liu,1,,,,
Robert Lemanske,1,,,,
Robert Strunk,1,,,,
Scott Weiss,1,,,,
Stephanie London,1,,,,
Frank Gilliland,1,,,,
Benjamin Raby,1,,,,
on behalf of the Asthma BRIDGE consortium ,1,,,,
Maryam Zahin,1,,,,
Joongho Joh,1,,,,
Sujita Khanal,1,,,,
Adam Husk,1,,,,
Hugh Mason,1,,,,
Heribert Warzecha,1,,,,
Shin-je Ghim,1,,,,
Donald M. Miller,1,,,,
Nobuyuki Matoba,1,,,,
Alfred Bennett Jenson,1,,,,
Julie Chastang,1,,,,
Nour Baïz,1,,,,
Jean Sébastien Cadwalladder,1,,,,
Sarah Robert,1,,,,
John Dywer,1,,,,
Denis André Charpin,1,,,,
Denis Caillaud,1,,,,
Frédéric de Blay,1,,,,
Chantal Raherison,1,,,,
François Lavaud,1,,,,
Isabella Annesi-Maesano,1,,,,
Donald U. Stone,1,,,,
Dustin Fife,1,,,,
Michael Brown,1,,,,
Keith E. Earley,1,,,,
Lida Radfar,1,,,,
C. Erick Kaufman,1,,,,
David M. Lewis,1,,,,
Nelson L. Rhodus,1,,,,
Barbara M. Segal,1,,,,
Daniel J. Wallace,1,,,,
Michael H. Weisman,1,,,,
Swamy Venuturupalli,1,,,,
Michael T. Brennan,1,,,,
Christopher J. Lessard,1,,,,
Courtney G. Montgomery,1,,,,
R. Hal Scofield,1,,,,
Kathy L. Sivils,1,,,,
Astrid Rasmussen,1,,,,
Ilaria Di Lelio,1,,,,
Silvia Caccia,1,,,,
Mariangela Coppola,1,,,,
Martina Buonanno,1,,,,
Gennaro Di Prisco,1,,,,
Paola Varricchio,1,,,,
Eleonora Franzetti,1,,,,
Giandomenico Corrado,1,,,,
Simona M. Monti,1,,,,
Rosa Rao,1,,,,
Morena Casartelli,1,,,,
Francesco Pennacchio,1,,,,
Pan Liao,1,,,,
Hui Wang,1,,,,
Mingfu Wang,1,,,,
An-Shan Hsiao,1,,,,
Thomas J. Bach,1,,,,
Mee-Len Chye,1,,,,
Mangmang Li,1,,,,
Ping Li,1,,,,
Rentao Song,1,,,,
Zhengkai Xu,1,,,,
Daniel S. Morris,1,,,,
Michael A. Tynan,1,,,,
Tangchun Zheng,2,,,,
Shuang Li,1,,,,
Lina Zang,2,,,,
Lijuan Dai,1,,,,
Chuanping Yang,2,,,,
Guan-Zheng Qu,2,,,,
Monika Mahajan,1,,,,
Paramvir Singh Ahuja,1,,,,
Sudesh Kumar Yadav,2,,,,
Milada Čovanová,1,,,,
Michael Sauer,1,,,,
Jan Rychtář,1,,,,
Jiří Friml,1,,,,
Jan Petrášek,1,,,,
Eva Zažímalová,1,,,,
