Author,Author_Count,Journal,Journal_Count,Subject,Subject_Count
Renu Tuteja,1,,,,
Ramsey S. Lewis,1,,,,
Harry O. Lopez,1,,,,
Steve W. Bowen,1,,,,
Karen R. Andres,1,,,,
William T. Steede,1,,,,
Ralph E. Dewey,1,,,,
Mohammad Alamgir Kabir,1,,,,
Kim-Leng Goh,1,,,,
Sunny Mohammad Mostafa Kamal,1,,,,
Md. Mobarak Hossain Khan,1,,,,
Douglas Eadie,1,,,,
Anne Marie MacKintosh,1,,,,
Susan Murray,1,,,,
Catherine Best,1,,,,
Jamie Pearce,1,,,,
Catherine Tisch,1,,,,
Winfried van der Sluijs,1,,,,
Amanda Amos,1,,,,
Andy MacGregor,1,,,,
Sally Haw,1,,,,
Patrick Opiyo Owili,1,,,,
Miriam Adoyo Muga,1,,,,
Wen-Chi Pan,1,,,,
Hsien-Wen Kuo,1,,,,
Olivier Droulers,1,,,,
Karine Gallopel-Morvan,1,,,,
Sophie Lacoste-Badie,1,,,,
Mathieu Lajante,1,,,,
Takamitsu Kurusu,1,,,,
Katsunori Saito,1,,,,
Sonoko Horikoshi,1,,,,
Shigeru Hanamata,1,,,,
Juntaro Negi,1,,,,
Chikako Yagi,1,,,,
Nobutaka Kitahata,1,,,,
Koh Iba,1,,,,
Kazuyuki Kuchitsu,1,,,,
Joydeep Banerjee,1,,,,
Dipak Kumar Sahoo,1,,,,
Nrisingha Dey,1,,,,
Robert L. Houtz,1,,,,
Indu Bhushan Maiti,1,,,,
Vinay Kumar,1,,,,
Gireesh Nadda,1,,,,
Sanjay Kumar,1,,,,
Meiping Wang,1,,,,
Hua Zhang,1,,,,
Eli-Anne Skaug,1,,,,
Bjarne Nes,1,,,,
Stian Thoresen Aspenes,1,,,,
Øyvind Ellingsen,1,,,,
James E. McGuffey,1,,,,
Binnian Wei,1,,,,
John T. Bernert,1,,,,
John C. Morrow,1,,,,
Baoyun Xia,1,,,,
Lanqing Wang,1,,,,
Benjamin C. Blount,1,,,,
Jennifer Cantrell,1,,,,
Donna M. Vallone,1,,,,
James F. Thrasher,1,,,,
Rebekah H. Nagler,1,,,,
Shari P. Feirman,1,,,,
Larry R. Muenz,1,,,,
David Y. He,1,,,,
Evan C. Palmer-Young,1,,,,
Daniel Veit,1,,,,
Jonathan Gershenzon,1,,,,
Meredith C. Schuman,1,,,,
Antoine Bénard,1,,,,
Patrick Mercié,1,,,,
Ahmadou Alioum,1,,,,
Fabrice Bonnet,1,,,,
Estibaliz Lazaro,1,,,,
Michel Dupon,1,,,,
Didier Neau,1,,,,
François Dabis,1,,,,
Geneviève Chêne,1,,,,
the Groupe d'Epidémiologie Clinique du Sida en Aquitaine (GECSA) ,1,,,,
Marianne van der Mark,1,,,,
Peter C. G. Nijssen,1,,,,
Jelle Vlaanderen,1,,,,
Anke Huss,1,,,,
Wim M. Mulleners,1,,,,
Antonetta M. G. Sas,1,,,,
Teus van Laar,1,,,,
Hans Kromhout,1,,,,
Roel Vermeulen,1,,,,
Jayadeep Patra,1,,,,
Jürgen Rehm,1,,,,
Wilson Suraweera,1,,,,
Soujanya Kaup,1,,,,
Ansaba Naseer,1,,,,
Siddharudha Shivalli,1,,,,
Cynthia Arunachalam,1,,,,
Khalid Amari,1,,,,
Martin Di Donato,1,,,,
Valerian V. Dolja,1,,,,
Manfred Heinlein,2,,,,
Hannes Vogler,1,,,,
Myoung-Ok Kwon,1,,,,
Vy Dang,1,,,,
Adrian Sambade,1,,,,
Monika Fasler,1,,,,
Jamie Ashby,1,,,,
Hanako Shimura,1,,,,
Vitantonio Pantaleo,1,,,,
Takeaki Ishihara,1,,,,
Nobutoshi Myojo,1,,,,
Jun-ichi Inaba,1,,,,
Kae Sueda,1,,,,
József Burgyán,1,,,,
Chikara Masuta,1,,,,
Shoko Ueki,1,,,,
Roman Spektor,1,,,,
Danielle M. Natale,1,,,,
Vitaly Citovsky,1,,,,
Yu Jiang,1,,,,
Sai Chen,1,,,,
Daniel McGuire,1,,,,
Fang Chen,1,,,,
Mengzhen Liu,1,,,,
William G. Iacono,1,,,,
John K. Hewitt,1,,,,
John E. Hokanson,1,,,,
Kenneth Krauter,1,,,,
Markku Laakso,1,,,,
Kevin W. Li,1,,,,
Sharon M. Lutz,1,,,,
Matthew McGue,1,,,,
Anita Pandit,1,,,,
Gregory J. M. Zajac,1,,,,
Michael Boehnke,1,,,,
Goncalo R. Abecasis,1,,,,
Scott I. Vrieze,1,,,,
Xiaowei Zhan,1,,,,
Bibo Jiang,1,,,,
Dajiang J. Liu,1,,,,
